rank,text,normalized_text,freq,class,ids
147,atch,atch,1959347,keep_word,"[271, 350]"
148,ros,ros,1959085,keep_word,"[307, 946]"
149,really,really,1957986,keep_word,"[311, 491]"
150,ms,ms,1956949,keep_word,"[953, 946]"
151,pr,pr,1956055,keep_word,"[954, 947]"
152,product,product,1956027,keep_word,"[721, 316]"
153,and s,and s,1956002,keep_phrase,"[290, 268]"
154,gr,gr,1951987,keep_word,"[314, 947]"
155,ss,ss,1950650,keep_word,"[946, 946]"
156,str,str,1949586,keep_word,"[341, 947]"
157,ouse,ouse,1948020,keep_word,"[273, 371]"
158,ation.,ation.,1945644,keep_subword,"[342, 960]"
159,the h,the h,1945040,keep_phrase,"[267, 298]"
160,y and,y and,1944485,keep_phrase,"[957, 290]"
161,oun,oun,1942315,keep_word,"[273, 945]"
162,az,az,1942315,keep_word,"[942, 993]"
163,arm,arm,1941387,keep_word,"[289, 953]"
164,They,they,1939373,keep_word,"[352, 957]"
165,each,each,1938389,keep_word,"[310, 560]"
166,ene,ene,1938024,keep_word,"[279, 940]"
167,akes,akes,1937927,keep_word,"[467, 276]"
168,lead,lead,1937721,keep_word,"[449, 335]"
169,ublic,ublic,1937692,keep_word,"[563, 692]"
170,ferent,ferent,1937501,keep_word,"[482, 726]"
171,num,num,1935387,keep_word,"[312, 421]"
172,pub,pub,1934235,keep_word,"[282, 563]"
173,vis,vis,1932302,keep_word,"[413, 278]"
174,det,det,1931456,keep_word,"[293, 315]"
175,Fr,fr,1922984,keep_word,"[363, 947]"
176,going,going,1921900,keep_word,"[566, 280]"
177,around,around,1921476,keep_word,"[261, 730]"
178,ug,ug,1920774,keep_word,"[952, 955]"
179,som,som,1919698,keep_word,"[268, 297]"
180,inter,inter,1919214,keep_word,"[291, 372]"
181,to p,to p,1917669,keep_phrase,"[287, 282]"
182,support,support,1913327,keep_word,"[454, 738]"
183,imes,imes,1911509,keep_word,"[336, 276]"
184,ric,ric,1910894,keep_word,"[947, 295]"
185,the re,the re,1910152,keep_phrase,"[267, 311]"
186,irect,irect,1909640,keep_word,"[553, 316]"
187,cept,cept,1901374,keep_word,"[351, 498]"
188,ines,ines,1900892,keep_word,"[262, 276]"
189,ality,ality,1897451,keep_word,"[286, 409]"
190,aw,aw,1891890,keep_word,"[261, 958]"
191,ier,ier,1890940,keep_word,"[944, 266]"
192,land,land,1890439,keep_word,"[949, 436]"
193,au,au,1888252,keep_word,"[942, 952]"
194,Le,le,1887588,keep_word,"[387, 940]"
195,char,char,1886388,keep_word,"[435, 289]"
196,though,though,1885365,keep_word,"[300, 650]"
197,So,so,1884896,keep_word,"[313, 943]"
198,ret,ret,1881447,keep_word,"[311, 941]"
199,count,count,1880737,keep_word,"[274, 601]"
200,riv,riv,1880571,keep_word,"[405, 961]"
201,On,on,1880449,keep_word,"[412, 945]"
202,der,der,1880267,keep_word,"[950, 266]"
203,follow,follow,1879149,keep_word,"[277, 934]"
204,cour,cour,1878811,keep_word,"[274, 378]"
205,s that,s that,1878103,keep_phrase,"[946, 346]"
206,view,view,1876864,keep_word,"[961, 722]"
207,provid,provid,1874945,keep_word,"[705, 322]"
208,ers.,ers.,1874204,keep_subword,"[356, 960]"
209,real,real,1873463,keep_word,"[311, 286]"
210,ets,ets,1863074,keep_word,"[315, 946]"
211,child,child,1860836,keep_word,"[435, 628]"
212,be,be,1860576,keep_word,"[959, 940]"
213,form,form,1856773,keep_word,"[321, 953]"
214,ional,ional,1851676,keep_word,"[299, 286]"
215,read,read,1850937,keep_word,"[264, 335]"
216,care,care,1849788,keep_word,"[274, 494]"
217,ize,ize,1849769,keep_word,"[527, 940]"
218,s for,s for,1849371,keep_phrase,"[946, 321]"
219,ween,ween,1847478,keep_word,"[749, 279]"
220,still,still,1845519,keep_word,"[341, 355]"
221,and c,and c,1844986,keep_phrase,"[290, 274]"
222,team,team,1844338,keep_word,"[532, 330]"
223,comple,comple,1843423,keep_word,"[488, 294]"
224,feel,feel,1842899,keep_word,"[557, 334]"
225,cur,cur,1840620,keep_word,"[274, 343]"
226,Ar,ar,1835526,keep_word,"[317, 947]"
227,ages,ages,1833801,keep_word,"[472, 276]"
228,ivers,ivers,1833207,keep_word,"[944, 667]"
229,Ad,ad,1833064,keep_word,"[317, 950]"
230,resent,resent,1828807,keep_word,"[448, 303]"
231,sign,sign,1826616,keep_word,"[268, 550]"
232,gg,gg,1823984,keep_word,"[955, 955]"
233,roup,roup,1822460,keep_word,"[462, 954]"
234,the w,the w,1821048,keep_phrase,"[267, 269]"
235,ple,ple,1818621,keep_word,"[954, 294]"
236,ved,ved,1813564,keep_word,"[961, 285]"
237,exp,exp,1810416,keep_word,"[408, 954]"
238,sk,sk,1806620,keep_word,"[268, 963]"
239,ution,ution,1803923,keep_word,"[340, 299]"
240,ash,ash,1802485,keep_word,"[296, 948]"
241,ustom,ustom,1801775,keep_word,"[419, 297]"
242,commun,commun,1801364,keep_word,"[699, 358]"
243,ion of,ion of,1798580,keep_phrase,"[299, 292]"
244,y of,y of,1796852,keep_phrase,"[957, 292]"
245,to s,to s,1796589,keep_phrase,"[287, 268]"
246,ed,ed,1795308,keep_word,"[939, 285]"
247,say,say,1787986,keep_word,"[268, 324]"
248,book,book,1785999,keep_word,"[281, 483]"
249,ps,ps,1780681,keep_word,"[954, 946]"
250,ars,ars,1780249,keep_word,"[289, 946]"
251,to re,to re,1778145,keep_phrase,"[287, 311]"
252,uc,uc,1777620,keep_word,"[952, 951]"
253,same,same,1776005,keep_word,"[268, 526]"
254,ata,ata,1774785,keep_word,"[271, 942]"
255,unity,unity,1773255,keep_word,"[358, 409]"
256,ah,ah,1771516,keep_word,"[942, 948]"
257,eas,eas,1769283,keep_word,"[310, 296]"
258,found,found,1767687,keep_word,"[277, 637]"
259,aut,aut,1767449,keep_word,"[261, 340]"
260,ser,ser,1767001,keep_word,"[268, 266]"
261,to c,to c,1765772,keep_phrase,"[287, 274]"
262,met,met,1763829,keep_word,"[288, 315]"
263,point,point,1763667,keep_word,"[282, 824]"
264,both,both,1762198,keep_word,"[281, 774]"
265,cle,cle,1761768,keep_word,"[274, 294]"
266,betwe,betwe,1758790,keep_word,"[752, 749]"
267,the n,the n,1756405,keep_phrase,"[267, 312]"
268,ittle,ittle,1752804,keep_word,"[685, 294]"
269,ear,ear,1751600,keep_word,"[310, 289]"
270,ev,ev,1747766,keep_word,"[310, 961]"
271,If you,if you,1746526,keep_phrase,"[746, 318]"
272,ute,ute,1736559,keep_word,"[340, 940]"
273,es in,es in,1729809,keep_phrase,"[276, 291]"
274,place,place,1728222,keep_word,"[452, 531]"
275,En,en,1726731,keep_word,"[403, 945]"
276,and m,and m,1722233,keep_phrase,"[290, 288]"
277,ef,ef,1714929,keep_word,"[940, 956]"
278,els,els,1711578,keep_word,"[334, 946]"
279,ways,ways,1711008,keep_word,"[958, 575]"
280,meric,meric,1710532,keep_word,"[640, 295]"
281,free,free,1708391,keep_word,"[277, 555]"
282,ever,ever,1708158,keep_word,"[940, 338]"
283,bo,bo,1707408,keep_word,"[281, 943]"
284,ering,ering,1706553,keep_word,"[266, 280]"
285,rep,rep,1704874,keep_word,"[311, 954]"
286,few,few,1703979,keep_word,"[557, 958]"
287,ion.,ion.,1699419,keep_subword,"[299, 960]"
288,lot,lot,1697374,keep_word,"[304, 327]"
289,king,king,1694117,keep_word,"[963, 280]"
290,man,man,1692160,keep_word,"[953, 284]"
291,ature,ature,1689709,keep_word,"[271, 410]"
292,import,import,1689109,keep_word,"[545, 631]"
293,olut,olut,1685975,keep_word,"[329, 340]"
294,run,run,1684528,keep_word,"[418, 358]"
295,progr,progr,1682934,keep_word,"[367, 715]"
296,cl,cl,1682273,keep_word,"[951, 949]"
297,tech,tech,1679659,keep_word,"[532, 350]"
298,co,co,1679362,keep_word,"[951, 943]"
299,ams,ams,1678950,keep_word,"[330, 946]"
300,iel,iel,1678830,keep_word,"[944, 334]"
