rank,text,normalized_text,freq,class,ids
49,until,until,1046266,keep_full_word,"[552, 941, 301]"
50,profess,profess,1039938,keep_full_word,"[367, 956, 382]"
51,iety,iety,1039730,keep_full_word,"[944, 315, 957]"
52,employ,employ,1033136,keep_full_word,"[727, 538, 643]"
53,large,large,1030703,keep_full_word,"[304, 289, 376]"
54,often,often,1017690,keep_full_word,"[292, 941, 279]"
55,success,success,1016343,keep_full_word,"[454, 516, 382]"
56,visit,visit,1006945,keep_full_word,"[413, 278, 275]"
57,personal,personal,1006273,keep_full_word,"[282, 827, 286]"
58,enef,enef,1004579,keep_full_word,"[279, 940, 956]"
59,together,together,1001093,keep_full_word,"[287, 823, 389]"
60,learn,learn,998584,keep_full_word,"[449, 289, 945]"
61,having,having,998398,keep_full_word,"[377, 961, 280]"
62,times,times,997203,keep_full_word,"[260, 336, 276]"
63,Univers,univers,996654,keep_full_word,"[798, 944, 667]"
64,augh,augh,996185,keep_full_word,"[942, 952, 464]"
65,bene,bene,984337,keep_full_word,"[281, 279, 940]"
66,complete,complete,981103,keep_full_word,"[488, 294, 468]"
67,conom,conom,977500,keep_full_word,"[951, 265, 297]"
68,ividual,ividual,975633,keep_full_word,"[456, 322, 711]"
69,community,community,964868,keep_full_word,"[699, 358, 409]"
70,enjoy,enjoy,961763,keep_full_word,"[506, 990, 643]"
71,didn,didn,960152,keep_full_word,"[293, 322, 945]"
72,individ,individ,957996,keep_full_word,"[753, 456, 322]"
73,body,body,956947,keep_full_word,"[281, 466, 957]"
74,talk,talk,955600,keep_full_word,"[260, 286, 963]"
75,uthor,uthor,954434,keep_full_word,"[340, 948, 270]"
76,house,house,954265,keep_full_word,"[298, 273, 371]"
77,memb,memb,952694,keep_full_word,"[288, 411, 959]"
78,products,products,952596,keep_full_word,"[721, 316, 946]"
79,ready,ready,950369,keep_full_word,"[264, 335, 957]"
80,ajor,ajor,944437,keep_full_word,"[942, 990, 270]"
81,ounc,ounc,942227,keep_full_word,"[273, 945, 951]"
82,owever,owever,942156,keep_full_word,"[328, 940, 338]"
83,load,load,938144,keep_full_word,"[949, 943, 335]"
84,organiz,organiz,937781,keep_full_word,"[386, 910, 527]"
85,merican,merican,937126,keep_full_word,"[640, 295, 284]"
86,social,social,933572,keep_full_word,"[268, 427, 461]"
87,ohn,ohn,933209,keep_full_word,"[943, 948, 945]"
88,Howe,howe,932334,keep_full_word,"[362, 328, 940]"
89,women,women,923845,keep_full_word,"[269, 297, 279]"
90,website,website,921116,keep_full_word,"[373, 804, 509]"
91,educ,educ,919061,keep_full_word,"[285, 952, 951]"
92,quality,quality,916955,keep_full_word,"[587, 286, 409]"
93,makes,makes,916921,keep_full_word,"[288, 467, 276]"
94,possible,possible,915780,keep_full_word,"[282, 847, 845]"
95,begin,begin,914326,keep_full_word,"[326, 955, 262]"
96,research,research,911448,keep_full_word,"[311, 371, 897]"
97,focus,focus,910735,keep_full_word,"[277, 427, 333]"
98,certain,certain,908063,keep_full_word,"[274, 787, 430]"
99,easy,easy,907512,keep_full_word,"[310, 296, 957]"
100,alread,alread,904540,keep_full_word,"[357, 264, 335]"
101,ique,ique,904283,keep_full_word,"[944, 414, 940]"
102,Eng,eng,897936,keep_full_word,"[403, 945, 955]"
103,Joh,joh,897899,keep_full_word,"[450, 943, 948]"
104,country,country,897743,keep_full_word,"[274, 601, 499]"
105,maj,maj,895848,keep_full_word,"[288, 942, 990]"
106,review,review,891927,keep_full_word,"[311, 961, 722]"
107,several,several,891183,keep_full_word,"[398, 338, 286]"
108,called,called,890861,keep_full_word,"[274, 444, 285]"
109,viron,viron,887631,keep_full_word,"[961, 347, 265]"
110,control,control,886502,keep_full_word,"[542, 307, 949]"
111,following,following,886146,keep_full_word,"[277, 934, 280]"
112,olution,olution,884264,keep_full_word,"[329, 340, 299]"
113,detail,detail,871750,keep_full_word,"[293, 315, 508]"
114,nology,nology,869577,keep_full_word,"[945, 877, 957]"
115,opportun,opportun,863685,keep_full_word,"[283, 738, 358]"
116,music,music,863480,keep_full_word,"[288, 333, 295]"
117,clear,clear,861769,keep_full_word,"[274, 294, 289]"
118,edu,edu,860293,keep_full_word,"[939, 285, 952]"
119,auth,auth,858773,keep_full_word,"[261, 340, 948]"
120,actually,actually,853390,keep_full_word,"[760, 952, 491]"
121,create,create,852038,keep_full_word,"[274, 264, 381]"
122,requi,requi,850270,keep_full_word,"[311, 414, 944]"
123,consider,consider,846257,keep_full_word,"[782, 322, 266]"
124,eneral,eneral,842280,keep_full_word,"[279, 266, 286]"
125,acros,acros,841092,keep_full_word,"[900, 307, 946]"
126,mend,mend,839803,keep_full_word,"[953, 940, 272]"
127,cuss,cuss,839549,keep_full_word,"[951, 333, 946]"
128,young,young,835736,keep_full_word,"[318, 945, 955]"
129,million,million,834759,keep_full_word,"[288, 355, 299]"
130,material,material,830141,keep_full_word,"[288, 671, 461]"
131,film,film,822713,keep_full_word,"[277, 301, 953]"
132,thought,thought,821215,keep_full_word,"[300, 650, 941]"
133,development,development,821148,keep_full_word,"[426, 862, 391]"
134,return,return,821010,keep_full_word,"[311, 941, 784]"
135,charact,charact,820893,keep_full_word,"[435, 289, 537]"
136,doesn,doesn,820310,keep_full_word,"[480, 276, 945]"
137,particular,particular,815473,keep_full_word,"[613, 295, 892]"
138,beaut,beaut,810075,keep_full_word,"[326, 942, 340]"
139,specific,specific,809893,keep_full_word,"[656, 951, 811]"
140,ironment,ironment,800427,keep_full_word,"[347, 265, 391]"
141,crib,crib,799177,keep_full_word,"[951, 405, 959]"
142,future,future,799051,keep_full_word,"[277, 340, 410]"
143,happen,happen,798969,keep_full_word,"[377, 380, 279]"
144,typ,typ,793981,keep_full_word,"[260, 957, 954]"
145,video,video,792070,keep_full_word,"[413, 459, 943]"
146,friends,friends,788063,keep_full_word,"[392, 441, 875]"
147,origin,origin,784436,keep_full_word,"[386, 332, 262]"
148,strong,strong,783121,keep_full_word,"[341, 947, 520]"
149,require,require,782220,keep_full_word,"[311, 414, 553]"
150,model,model,782015,keep_full_word,"[288, 466, 334]"
151,example,example,777940,keep_full_word,"[408, 700, 294]"
152,months,months,775919,keep_full_word,"[907, 429, 946]"
153,hours,hours,774859,keep_full_word,"[298, 378, 946]"
154,pati,pati,771683,keep_full_word,"[282, 271, 944]"
155,econ,econ,771110,keep_full_word,"[310, 951, 265]"
156,early,early,767348,keep_full_word,"[310, 289, 320]"
157,ograph,ograph,764621,keep_full_word,"[505, 364, 769]"
158,human,human,761921,keep_full_word,"[298, 421, 284]"
159,percent,percent,758133,keep_full_word,"[590, 951, 303]"
160,ethod,ethod,756985,keep_full_word,"[315, 948, 466]"
161,lished,lished,756592,keep_full_word,"[949, 278, 703]"
162,artic,artic,755701,keep_full_word,"[626, 941, 295]"
163,vari,vari,754079,keep_full_word,"[413, 289, 944]"
164,deli,deli,752243,keep_full_word,"[293, 334, 944]"
165,envir,envir,749683,keep_full_word,"[506, 961, 347]"
166,challen,challen,744861,keep_full_word,"[435, 444, 279]"
167,discus,discus,737226,keep_full_word,"[616, 951, 333]"
168,rateg,rateg,735240,keep_full_word,"[947, 381, 955]"
169,priv,priv,732924,keep_full_word,"[282, 405, 961]"
170,industry,industry,731451,keep_full_word,"[753, 419, 499]"
171,walk,walk,729588,keep_full_word,"[269, 286, 963]"
172,purch,purch,729385,keep_full_word,"[282, 343, 350]"
173,given,given,726508,keep_full_word,"[314, 456, 279]"
174,ources,ources,726069,keep_full_word,"[378, 951, 276]"
175,games,games,724274,keep_full_word,"[314, 330, 276]"
176,everything,everything,723009,keep_full_word,"[731, 429, 280]"
177,minutes,minutes,721006,keep_full_word,"[908, 340, 276]"
178,quired,quired,719430,keep_full_word,"[414, 944, 473]"
179,tax,tax,718085,keep_full_word,"[260, 942, 974]"
180,atural,atural,715144,keep_full_word,"[271, 343, 286]"
181,receiv,receiv,712754,keep_full_word,"[311, 351, 456]"
182,clean,clean,710535,keep_full_word,"[274, 294, 284]"
183,ergy,ergy,710157,keep_full_word,"[266, 955, 957]"
184,defin,defin,708693,keep_full_word,"[426, 956, 262]"
185,essional,essional,706879,keep_full_word,"[382, 299, 286]"
186,question,question,706328,keep_full_word,"[587, 388, 299]"
187,solut,solut,704001,keep_full_word,"[268, 329, 340]"
188,elves,elves,703606,keep_full_word,"[334, 961, 276]"
189,respons,respons,701570,keep_full_word,"[581, 954, 701]"
190,single,single,701465,keep_full_word,"[268, 280, 294]"
191,pecially,pecially,698976,keep_full_word,"[423, 792, 320]"
192,companies,companies,698226,keep_full_word,"[488, 284, 431]"
193,meth,meth,697594,keep_full_word,"[288, 315, 948]"
194,stitut,stitut,697118,keep_full_word,"[308, 275, 340]"
195,claim,claim,696931,keep_full_word,"[518, 942, 336]"
196,polic,polic,693943,keep_full_word,"[282, 329, 295]"
197,omme,omme,691199,keep_full_word,"[297, 953, 940]"
198,cript,cript,691041,keep_full_word,"[951, 405, 498]"
199,fiel,fiel,689028,keep_full_word,"[277, 944, 334]"
200,selv,selv,687943,keep_full_word,"[946, 334, 961]"
201,break,break,687923,keep_full_word,"[281, 264, 467]"
202,etwork,etwork,686172,keep_full_word,"[315, 958, 865]"
203,recomm,recomm,686030,keep_full_word,"[622, 297, 953]"
204,lieve,lieve,685675,keep_full_word,"[949, 441, 305]"
205,imple,imple,685460,keep_full_word,"[336, 954, 294]"
206,energ,energ,683891,keep_full_word,"[506, 266, 955]"
207,issues,issues,683693,keep_full_word,"[323, 946, 937]"
208,Euro,euro,682552,keep_full_word,"[403, 952, 307]"
209,ustomers,ustomers,681310,keep_full_word,"[419, 297, 356]"
210,results,results,680149,keep_full_word,"[581, 572, 946]"
211,media,media,680002,keep_full_word,"[288, 285, 547]"
212,connect,connect,679308,keep_full_word,"[384, 568, 316]"
213,repres,repres,678230,keep_full_word,"[311, 954, 448]"
214,ffective,ffective,677856,keep_full_word,"[956, 771, 417]"
215,polit,polit,675778,keep_full_word,"[282, 329, 275]"
216,descri,descri,673161,keep_full_word,"[682, 951, 405]"
217,skill,skill,668626,keep_full_word,"[268, 963, 355]"
218,potent,potent,668112,keep_full_word,"[282, 327, 303]"
219,natur,natur,667808,keep_full_word,"[312, 271, 343]"
220,history,history,667731,keep_full_word,"[298, 404, 683]"
221,orpor,orpor,666725,keep_full_word,"[270, 954, 270]"
222,anything,anything,665965,keep_full_word,"[610, 429, 280]"
223,questions,questions,665295,keep_full_word,"[587, 388, 492]"
224,standard,standard,664883,keep_full_word,"[341, 436, 445]"
225,otential,otential,664836,keep_full_word,"[327, 303, 461]"
