rank,text,normalized_text,freq,score,action,reasons,ids
32,belie,belie,1196708,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[326, 949, 441]"
33,order,order,1188234,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[386, 950, 266]"
34,chnolog,chnolog,1160814,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[350, 945, 877]"
35,ribut,ribut,1160228,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[405, 959, 340]"
36,current,current,1157159,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[274, 343, 726]"
37,away,away,1107988,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[261, 958, 324]"
38,govern,govern,1107164,4,review_keep,good_stem_allowlist;clean_alpha;plausible_vowel_ratio;bad_suffix_shape,"[566, 338, 945]"
39,children,children,1106013,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[435, 628, 660]"
40,vernment,vernment,1103425,8,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape;useful_suffix_pattern,"[338, 945, 391]"
41,present,present,1080347,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[282, 448, 303]"
42,ference,ference,1075382,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[482, 660, 351]"
43,money,money,1067343,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[288, 503, 957]"
44,understand,understand,1057764,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[814, 308, 436]"
45,embers,embers,1054534,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[411, 959, 356]"
46,Christ,christ,1052496,3,review_keep,clean_alpha;clean_word_shape,"[577, 947, 404]"
47,fession,fession,1051491,8,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape;useful_suffix_pattern,"[956, 382, 299]"
48,course,course,1046468,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[274, 378, 371]"
49,until,until,1046266,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[552, 941, 301]"
50,profess,profess,1039938,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[367, 956, 382]"
51,iety,iety,1039730,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[944, 315, 957]"
52,employ,employ,1033136,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[727, 538, 643]"
53,large,large,1030703,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[304, 289, 376]"
54,often,often,1017690,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[292, 941, 279]"
55,success,success,1016343,18,keep,full_word_allowlist;good_stem_allowlist;good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[454, 516, 382]"
56,visit,visit,1006945,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[413, 278, 275]"
57,personal,personal,1006273,18,keep,full_word_allowlist;good_stem_allowlist;good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[282, 827, 286]"
58,enef,enef,1004579,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[279, 940, 956]"
59,together,together,1001093,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[287, 823, 389]"
60,learn,learn,998584,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[449, 289, 945]"
61,having,having,998398,6,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;useful_suffix_pattern,"[377, 961, 280]"
62,times,times,997203,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[260, 336, 276]"
63,Univers,univers,996654,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[798, 944, 667]"
64,augh,augh,996185,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[942, 952, 464]"
65,bene,bene,984337,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[281, 279, 940]"
66,complete,complete,981103,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[488, 294, 468]"
67,conom,conom,977500,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[951, 265, 297]"
68,ividual,ividual,975633,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[456, 322, 711]"
69,community,community,964868,8,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape;useful_suffix_pattern,"[699, 358, 409]"
70,enjoy,enjoy,961763,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[506, 990, 643]"
71,didn,didn,960152,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[293, 322, 945]"
72,individ,individ,957996,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[753, 456, 322]"
73,body,body,956947,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[281, 466, 957]"
74,talk,talk,955600,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[260, 286, 963]"
75,uthor,uthor,954434,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[340, 948, 270]"
76,house,house,954265,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[298, 273, 371]"
77,memb,memb,952694,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[288, 411, 959]"
78,products,products,952596,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[721, 316, 946]"
79,ready,ready,950369,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[264, 335, 957]"
80,ajor,ajor,944437,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[942, 990, 270]"
81,ounc,ounc,942227,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[273, 945, 951]"
82,owever,owever,942156,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[328, 940, 338]"
83,load,load,938144,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[949, 943, 335]"
84,organiz,organiz,937781,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[386, 910, 527]"
85,merican,merican,937126,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[640, 295, 284]"
86,social,social,933572,16,keep,full_word_allowlist;good_stem_allowlist;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[268, 427, 461]"
87,ohn,ohn,933209,-999,drop,too_short,"[943, 948, 945]"
88,Howe,howe,932334,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[362, 328, 940]"
89,women,women,923845,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[269, 297, 279]"
90,website,website,921116,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[373, 804, 509]"
91,educ,educ,919061,4,review_keep,good_stem_allowlist;clean_alpha;plausible_vowel_ratio;bad_suffix_shape,"[285, 952, 951]"
92,quality,quality,916955,19,keep,full_word_allowlist;good_stem_allowlist;good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape;useful_suffix_pattern,"[587, 286, 409]"
93,makes,makes,916921,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[288, 467, 276]"
94,possible,possible,915780,18,keep,full_word_allowlist;good_stem_allowlist;good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[282, 847, 845]"
95,begin,begin,914326,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[326, 955, 262]"
96,research,research,911448,18,keep,full_word_allowlist;good_stem_allowlist;good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[311, 371, 897]"
97,focus,focus,910735,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[277, 427, 333]"
98,certain,certain,908063,7,keep,good_length;clean_alpha;plausible_vowel_ratio;clean_word_shape,"[274, 787, 430]"
99,easy,easy,907512,4,review_keep,clean_alpha;plausible_vowel_ratio;clean_word_shape;short_ambiguous_fragment,"[310, 296, 957]"
100,alread,alread,904540,5,keep,clean_alpha;plausible_vowel_ratio;clean_word_shape,"[357, 264, 335]"
